"FAOcode","Area","Units","Country","Year","Catch","scientificname","English_name","Family","Order.or.higher.taxa","kingdom","phylum","class","order","family","genus","AphiaID"
"ABZ","27.9.a","TLW","ES",2022,1.12,"Ammodytes tobianus","Small sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",126752
"ABZ","27.9.a","TLW","ES",2021,0.83,"Ammodytes tobianus","Small sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",126752
"ABZ","27.9.a","TLW","ES",2020,1.23,"Ammodytes tobianus","Small sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",126752
"ABZ","27.9.a","TLW","ES",2019,0.66,"Ammodytes tobianus","Small sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",126752
"ABZ","27.9.a","TLW","ES",2018,0.51,"Ammodytes tobianus","Small sandeel","AMMODYTIDAE","LABRIFORMES (URANOSCOPOIDEI)","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",126752
"AES","27.9.a","TLW","ES",2020,0.02,"Pandalus montagui","Aesop shrimp","PANDALIDAE","DECAPODA (PLEOCYEMATA) CARIDEA","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus",107651
"AES","27.9.a","TLW","ES",2018,1.09,"Pandalus montagui","Aesop shrimp","PANDALIDAE","DECAPODA (PLEOCYEMATA) CARIDEA","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus",107651
"AES","27.9.a","TLW","ES",2014,0.05,"Pandalus montagui","Aesop shrimp","PANDALIDAE","DECAPODA (PLEOCYEMATA) CARIDEA","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus",107651
"AGN","27.8.c","TLW","ES",2013,0.02,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.8.c","TLW","ES",2012,0.03,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.8.c","TLW","ES",2011,0.05,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2022,0.36,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2021,0.17,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2019,2.43,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2018,0.24,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2016,0.86,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2015,1.91,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2014,0.3,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2013,4.24,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2012,62.51,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2011,10.31,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2010,9.3,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2009,0.01,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2008,0.01,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2007,0.8,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AGN","27.9.a","TLW","ES",2006,0.1,"Squatina squatina","Angelshark","SQUATINIDAE","SQUATINIFORMES","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina",105928
"AKJ","27.8.c","TLW","ES",2016,0.01,"Acanthocardia echinata","European prickly cockle","CARDIIDAE","BIVALVIA","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia",138992
"AKJ","27.9.a","TLW","ES",2016,0.01,"Acanthocardia echinata","European prickly cockle","CARDIIDAE","BIVALVIA","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia",138992
"AKJ","27.9.a","TLW","ES",2014,0.02,"Acanthocardia echinata","European prickly cockle","CARDIIDAE","BIVALVIA","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia",138992
"AKJ","27.9.a","TLW","ES",2013,0.02,"Acanthocardia echinata","European prickly cockle","CARDIIDAE","BIVALVIA","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia",138992
"AKL","27.8.c","TLW","ES",2019,0.02,"Acantholabrus palloni","Scale-rayed wrasse","LABRIDAE","LABRIFORMES (LABROIDEI)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Acantholabrus",126957
"ALB","27.8.c","TLW","ES",2022,6105.88,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2021,9518.78,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2020,6280.81,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2019,4272.6,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2018,4088.08,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2017,4304.46,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2016,4392.83,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2015,2093.72,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2014,172.84,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2013,1957.93,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2012,2676.16,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2011,2981.22,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2010,1835.9,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2009,869.3,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2008,3993,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2007,6127.6,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.8.c","TLW","ES",2006,6851.2,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2022,15.98,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2021,0.67,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2020,0.21,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2019,0.83,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2018,4.97,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2017,18.91,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2016,91.47,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2015,38.17,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2014,16.59,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2013,68.19,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2012,62.99,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2011,26.08,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2010,73.8,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2009,13.2,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2008,125,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2007,110.3,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALB","27.9.a","TLW","ES",2006,55.7,"Thunnus alalunga","Albacore","SCOMBRIDAE","SCOMBRIFORMES (SCOMBROIDEI)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",127026
"ALF","27.8.c","TLW","ES",2022,0.08,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2021,0.96,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2020,0.96,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2019,1.24,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2018,1.36,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2017,0.7,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2016,2.59,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2015,0.56,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2014,0.48,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2013,0.56,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2012,0.67,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2011,6.49,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2010,9.5,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2009,4.4,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2008,7,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2007,3.3,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.8.c","TLW","ES",2006,5.1,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2021,0.01,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2020,0.01,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2019,0.12,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2018,0.15,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2017,0.06,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2016,0.05,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2014,0.09,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2013,0.18,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2012,1.29,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2011,0.05,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2010,10.3,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2009,0.01,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2008,0.01,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2007,0.3,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALF","27.9.a","TLW","ES",2006,6.9,"Beryx spp","Alfonsinos NEI","BERYCIDAE","BERYCIFORMES","Animalia","Chordata","Teleostei","Beryciformes","Berycidae","Beryx",125700
"ALM","27.8.c","TLW","ES",2015,0.01,"Aluterus monoceros","Unicorn leatherjacket filefish","MONACANTHIDAE","TETRAODONTIFORMES","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Aluterus",127407
"ALM","27.9.a","TLW","ES",2022,0.12,"Aluterus monoceros","Unicorn leatherjacket filefish","MONACANTHIDAE","TETRAODONTIFORMES","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Aluterus",127407
"ALM","27.9.a","TLW","ES",2013,0.01,"Aluterus monoceros","Unicorn leatherjacket filefish","MONACANTHIDAE","TETRAODONTIFORMES","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Aluterus",127407
"ALU","27.8.c","TLW","ES",2021,0.01,"Albulidae","Bonefishes NEI","ALBULIDAE","ALBULIFORMES","Animalia","Chordata","Teleostei","Albuliformes","Albulidae",NA,151805
"ALV","27.8.c","TLW","ES",2009,3.3,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.8.c","TLW","ES",2008,4,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.8.c","TLW","ES",2007,7.5,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.8.c","TLW","ES",2006,6.6,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2020,0.12,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2018,0.03,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2014,0.01,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2012,0.02,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2011,0.01,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2010,0.1,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2009,21.5,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2008,29,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2007,13.3,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALV","27.9.a","TLW","ES",2006,23.9,"Alopias vulpinus","Thresher","ALOPIIDAE","LAMNIFORMES","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias",105836
"ALX","27.8.c","TLW","ES",2021,0.16,"Alepisaurus ferox","Long snouted lancetfish","ALEPISAURIDAE","AULOPIFORMES","Animalia","Chordata","Teleostei","Aulopiformes","Alepisauridae","Alepisaurus",126333
"ALX","27.9.a","TLW","ES",2022,0.08,"Alepisaurus ferox","Long snouted lancetfish","ALEPISAURIDAE","AULOPIFORMES","Animalia","Chordata","Teleostei","Aulopiformes","Alepisauridae","Alepisaurus",126333
"ALX","27.9.a","TLW","ES",2021,0.01,"Alepisaurus ferox","Long snouted lancetfish","ALEPISAURIDAE","AULOPIFORMES","Animalia","Chordata","Teleostei","Aulopiformes","Alepisauridae","Alepisaurus",126333
"AMB","27.8.c","TLW","ES",2022,0.01,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2021,0.22,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2020,0.04,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2019,0.01,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2017,0.24,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2016,0.06,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2015,0.03,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2013,0.03,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2012,0.05,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.8.c","TLW","ES",2011,0.82,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
"AMB","27.9.a","TLW","ES",2022,10.66,"Seriola dumerili","Greater amberjack","CARANGIDAE","CARANGIFORMES (CARANGOIDEI)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola",126816
