"year","scientificname","total_tons","ESPECIE","STOCK","ZONA_CIEM","TAC.2016","TAC_2017","TAC_2018","TAC_2019","TAC_2020","TAC_2021","ratio_TAC_total"
2013,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2013,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2013,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2014,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2014,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2014,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2014,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2014,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2014,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2014,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2014,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2014,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2014,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2014,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2014,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2014,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2014,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2015,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2015,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2015,"merlangius merlangus",164758,"MERLÁN ","WHG/08 ","VIII ","1016 ","1016 ","1016 ","1016 ","1016 ",880,0.00534116704499933
2015,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2015,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2015,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2015,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2015,"pollachius pollachius",164728,"ABADEJO"," POL/56/14 ","VI, Vb, XII, XIV ","6 ","6 ","6 ","6 ","3 ",1,6.07061337477539e-06
2015,"pollachius pollachius",164728,"ABADEJO","POL/07 ","VII ","25 ","23 ","23 ","23 ","23 ",6,3.64236802486523e-05
2015,"pollachius pollachius",164728,"ABADEJO","POL/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","252 ","252 ","252 ","252 ","252 ",252,0.0015297945704434
2015,"pollachius pollachius",164728,"ABADEJO","POL/08C ","VIIIc ","208 ","208 ","208 ","208 ","187 ",149,0.000904521392841533
2015,"pollachius pollachius",164728,"ABADEJO","POL/9/3411 ","IX, X, CPACO 3411 ","273 ","273 ","273 ","273 ","246 ",196,0.00118984022145598
2015,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2015,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2016,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2016,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2016,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2016,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2016,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2016,"pleuronectes platessa",172902,"SOLLA"," PLE/8/3411 ","VIII, IX, X, CPACO 3411 ","66 ","66 ","66 ","66 ","59 ",26,0.000150374200414107
2016,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2016,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2017,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2017,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2017,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2017,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2017,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2017,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2017,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
2018,"engraulis encrasicolus",161831,"ANCHOA ","ANE/08 ","VIII ","29700 ","29700 ","29700 ","29700 ","28703 ",29700,0.183524788204979
2018,"engraulis encrasicolus",161831,"ANCHOA ","ANE/9/3411 ","IX, X, CPACO 3411 ","7174 ","5978 ","5978 ",NA,NA,NA,NA
2018,"merluccius merluccius",164795,"MERLUZA ","HKE/571214 ","VI, VII, Vb, XII, XIV ","18248 ","19944 ","18434 ","23512 ","18667 ",4667,0.0283200339816135
2018,"merluccius merluccius",164795,"MERLUZA ","HKE/8ABDE ","VIIIa, VIIIb, VIIId, VIIIe ","12429 ","13787 ","13065 ","16036 ","12995 ",3249,0.0197154039867714
2018,"merluccius merluccius",164795,"MERLUZA ","HKE/8C3411 ","VIIIc, IX, X, CPACO 3411 ","6830 ","6732 ","5924 ","5924 ","5600 ",5320,0.0322825328438363
2018,"trachurus trachurus",168588,"JUREL","JAX/08C","VIIIc","15441 ","11890 ","14335 ","16895 ","10015 ",2504,0.0148527771846157
2018,"trachurus trachurus",168588,"JUREL","JAX/09","IX ","17744 ","18977 ","14373 ","24324 ","30237 ",31834,0.188827200037962
